COD CLIENTE,COD UNID,COD SERVICIO,Compañía,Cliente,Unidad,Servicio,F. Inicio,Fecha Fin,Personal_Requerido,Personal_Estimado,Personal_Real,Déficit_Superávit,% Cobertura,Estado,Registros_Totales,Registros_Duplicados,Origen_Registro,Lider Zonal,Zona,MacroZona
54550,23332,F35,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS CALLE 7 SEDE LA MOLINA PARKING,AGENTE PARKING 08 HRS L/D TARDE,2023-06-01,2099-12-31,2,2.3333333333333335,1,-1.3333333333333335,42.9,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PD2,ZONA PARKING Y DELIVERY
54550,23332,F36,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS CALLE 7 SEDE LA MOLINA PARKING,AGENTE PARKING 08 HRS L/D DÍA,2023-06-01,2099-12-31,2,2.3333333333333335,4,1.6666666666666665,171.4,Excedente,4,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PD2,ZONA PARKING Y DELIVERY
54550,23332,M59,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS CALLE 7 SEDE LA MOLINA PARKING,SUPERVISOR PARKING 08 HRS L/D TARDE,2023-06-01,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PD2,ZONA PARKING Y DELIVERY
54550,23333,F35,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS SEDE PUENTE PIEDRA PARKING,AGENTE PARKING 08 HRS L/D TARDE,2024-06-24,2099-12-31,1,1.1666666666666667,3,1.8333333333333333,257.1,Excedente,3,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PD2,ZONA PARKING Y DELIVERY
54550,23333,F35,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS SEDE PUENTE PIEDRA PARKING,AGENTE PARKING 08 HRS L/D TARDE,2023-06-01,2099-12-31,1,1.1666666666666667,3,1.8333333333333333,257.1,Excedente,3,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PD2,ZONA PARKING Y DELIVERY
54550,23333,F36,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS SEDE PUENTE PIEDRA PARKING,AGENTE PARKING 08 HRS L/D DÍA,2023-06-01,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PD2,ZONA PARKING Y DELIVERY
54550,23334,F35,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS SEDE LOS OLIVOS PARKING,AGENTE PARKING 08 HRS L/D TARDE,2023-06-01,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PD2,ZONA PARKING Y DELIVERY
54550,23334,F36,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS SEDE LOS OLIVOS PARKING,AGENTE PARKING 08 HRS L/D DÍA,2023-06-01,2099-12-31,1,1.1666666666666667,2,0.8333333333333333,171.4,Excedente,2,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PD2,ZONA PARKING Y DELIVERY
54550,23334,M59,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS SEDE LOS OLIVOS PARKING,SUPERVISOR PARKING 08 HRS L/D TARDE,2023-06-01,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PD2,ZONA PARKING Y DELIVERY
54550,23335,F35,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS SEDE QUILCA PARKING,AGENTE PARKING 08 HRS L/D TARDE,2023-06-01,2099-12-31,1,1.1666666666666667,2,0.8333333333333333,171.4,Excedente,2,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PD2,ZONA PARKING Y DELIVERY
54550,23335,F36,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS SEDE QUILCA PARKING,AGENTE PARKING 08 HRS L/D DÍA,2023-06-01,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PD2,ZONA PARKING Y DELIVERY
54550,23592,F35,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS SEDE LA MOLINA ESPINAR PARKING,AGENTE PARKING 08 HRS L/D TARDE,2023-08-07,2099-12-31,3,3.5,2,-1.5,57.1,Déficit,2,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PD2,ZONA PARKING Y DELIVERY
54550,23592,F36,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS SEDE LA MOLINA ESPINAR PARKING,AGENTE PARKING 08 HRS L/D DÍA,2023-08-07,2099-12-31,2,2.3333333333333335,2,-0.3333333333333335,85.7,Déficit,2,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PD2,ZONA PARKING Y DELIVERY
54550,23592,M59,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS SEDE LA MOLINA ESPINAR PARKING,SUPERVISOR PARKING 08 HRS L/D TARDE,2023-08-07,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PD2,ZONA PARKING Y DELIVERY
54550,25943,F35,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS DOMINICOS CALLAO PARKING,AGENTE PARKING 08 HRS L/D TARDE,2024-09-16,2099-12-31,1,1.1666666666666667,0,,,Sin_Datos,0,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25943,F36,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS DOMINICOS CALLAO PARKING,AGENTE PARKING 08 HRS L/D DÍA,2024-09-16,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25943,L58,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS DOMINICOS CALLAO PARKING,AGENTE PARKING 12 HRS L/D TARDE,2024-09-16,2099-12-31,1,1.1666666666666667,2,0.8333333333333333,171.4,Excedente,2,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25944,F35,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS CRILLÓN LIMA PARKING,AGENTE PARKING 08 HRS L/D TARDE,2024-09-16,2099-12-31,2,2.3333333333333335,3,0.6666666666666665,128.6,Excedente,3,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25944,F36,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS CRILLÓN LIMA PARKING,AGENTE PARKING 08 HRS L/D DÍA,2024-09-16,2099-12-31,2,2.3333333333333335,2,-0.3333333333333335,85.7,Déficit,2,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25945,F35,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS LA PÓLVORA EL AGUSTINO PARKING,AGENTE PARKING 08 HRS L/D TARDE,2024-09-16,2099-12-31,2,2.3333333333333335,2,-0.3333333333333335,85.7,Déficit,2,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25945,F36,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS LA PÓLVORA EL AGUSTINO PARKING,AGENTE PARKING 08 HRS L/D DÍA,2024-09-16,2099-12-31,2,2.3333333333333335,3,0.6666666666666665,128.6,Excedente,3,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25946,F35,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS SAENZ PEÑA CALLAO PARKING,AGENTE PARKING 08 HRS L/D TARDE,2024-09-16,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25946,F36,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS SAENZ PEÑA CALLAO PARKING,AGENTE PARKING 08 HRS L/D DÍA,2024-09-16,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25947,F35,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS TUSILAGOS SJL PARKING,AGENTE PARKING 08 HRS L/D TARDE,2024-09-16,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25947,F36,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS TUSILAGOS SJL PARKING,AGENTE PARKING 08 HRS L/D DÍA,2024-09-16,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25949,L58,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS AREQUIPA PARRA PARKING,AGENTE PARKING 12 HRS L/D TARDE,2024-09-16,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25950,L58,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS CHICLAYO SAN JOSÉ PARKING,AGENTE PARKING 12 HRS L/D TARDE,2024-09-16,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25951,F35,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS CHINCHA ICA PARKING,AGENTE PARKING 08 HRS L/D TARDE,2024-09-16,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25951,F36,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS CHINCHA ICA PARKING,AGENTE PARKING 08 HRS L/D DÍA,2024-09-16,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25952,L58,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS HUACHO PARKING,AGENTE PARKING 12 HRS L/D TARDE,2024-09-16,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25953,L58,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS PACASMAYO LA LIBERTAD PARKING,AGENTE PARKING 12 HRS L/D TARDE,2024-09-16,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25954,F35,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS SULLANA PIURA PARKING,AGENTE PARKING 08 HRS L/D TARDE,2024-09-16,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25954,F36,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS SULLANA PIURA PARKING,AGENTE PARKING 08 HRS L/D DÍA,2024-09-16,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25954,L58,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS SULLANA PIURA PARKING,AGENTE PARKING 12 HRS L/D TARDE,2024-09-16,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25955,L58,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,HB UNO BARRIOS ALTOS PARKING,AGENTE PARKING 12 HRS L/D TARDE,2024-09-16,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25956,F35,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,HB UNO CHINCHA ICA PARKING,AGENTE PARKING 08 HRS L/D TARDE,2025-02-01,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25956,L39,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,HB UNO CHINCHA ICA PARKING,AGENTE PARKING 04 HRS L/D DÍA,2025-02-01,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25957,L58,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,HB UNO CHULUCANAS PIURA PARKING,AGENTE PARKING 12 HRS L/D TARDE,2024-09-16,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25958,L58,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,HB UNO FERREÑAFE PARKING,AGENTE PARKING 12 HRS L/D TARDE,2024-09-16,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25959,L58,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,HB UNO DUEÑAS LIMA PARKING,AGENTE PARKING 12 HRS L/D TARDE,2024-09-16,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25960,L58,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,HB UNO GUARDIA CIVIL CHORRILLOS PARKING,AGENTE PARKING 12 HRS L/D TARDE,2024-09-16,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25961,L58,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,HB UNO ICA PANAMERICANA PARKING,AGENTE PARKING 12 HRS L/D TARDE,2024-09-16,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25962,L58,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,HB UNO ICA TINGUIÑA PARKING,AGENTE PARKING 12 HRS L/D TARDE,2024-09-16,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25965,L58,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,HB UNO PUENTE PIEDRA PARKING,AGENTE PARKING 12 HRS L/D TARDE,2024-09-16,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25966,L58,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,HB UNO SULLANA PARKING,AGENTE PARKING 12 HRS L/D TARDE,2024-09-16,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25967,L58,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,HB UNO TANTAMAYO SMP PARKING,AGENTE PARKING 12 HRS L/D TARDE,2024-09-16,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25968,L58,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,HB UNO TRUJILLO PIÉROLA PARKING,AGENTE PARKING 12 HRS L/D TARDE,2024-09-16,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25969,L58,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,HB UNO TRUJILLO UNIÓN PARKING,AGENTE PARKING 12 HRS L/D TARDE,2024-09-16,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25970,L58,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,HB UNO URBANA PTE. PIEDRA PARKING,AGENTE PARKING 12 HRS L/D TARDE,2024-09-16,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25971,L58,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,HB UNO VENTANILLA CALLAO PARKING,AGENTE PARKING 12 HRS L/D TARDE,2024-09-16,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25972,F35,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS ZORRITOS PARKING,AGENTE PARKING 08 HRS L/D TARDE,2024-09-16,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25972,F36,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS ZORRITOS PARKING,AGENTE PARKING 08 HRS L/D DÍA,2024-09-16,2099-12-31,1,1.1666666666666667,2,0.8333333333333333,171.4,Excedente,2,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54550,25976,L58,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,HB UNO SB EL AGUSTINO PARKING,AGENTE PARKING 12 HRS L/D TARDE,2024-09-16,2099-12-31,1,1.1666666666666667,1,-0.16666666666666674,85.7,Déficit,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54553,26370,O30,Liderman Facilities S.A.C.,PROMOTORA DE TURISMO NUEVO MUNDO S.A.C.,NUEVO MUNDO 28 DE JULIO MIRAFLORES,OPERARIO 08 HRS L/S DÍA,2025-01-01,2099-12-31,1,1.0,1,0.0,100.0,Completo,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54553,26371,O31,Liderman Facilities S.A.C.,PROMOTORA DE TURISMO NUEVO MUNDO S.A.C.,NUEVO MUNDO CERCADO DE LIMA,OPERARIO 04 HRS L/S DÍA,2025-01-01,2099-12-31,1,1.0,1,0.0,100.0,Completo,1,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54553,26372,Q19,Liderman Facilities S.A.C.,PROMOTORA DE TURISMO NUEVO MUNDO S.A.C.,NUEVO MUNDO LA MOLINA,OPERARIO 02 HRS L/S DÍA,2025-01-01,2099-12-31,1,1.0,0,,,Sin_Datos,0,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54553,26375,O30,Liderman Facilities S.A.C.,PROMOTORA DE TURISMO NUEVO MUNDO S.A.C.,NUEVO MUNDO PARDO MIRAFLORES,OPERARIO 08 HRS L/S DÍA,2025-01-01,2099-12-31,2,2.0,2,0.0,100.0,Completo,2,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54553,26375,P99,Liderman Facilities S.A.C.,PROMOTORA DE TURISMO NUEVO MUNDO S.A.C.,NUEVO MUNDO PARDO MIRAFLORES,OPERARIO 08 HRS L/D DÍA,2025-05-10,2025-05-10,2,2.3333333333333335,0,,,Sin_Datos,0,0,Servicio_Vivo,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY
54554,607,113,J&V Resguardo S.A.C.,PROFUTURO AFP,PROFUTURO SEDE PRINCIPAL,OPERADOR CENTRO CONTROL 24 HRS L/D,2022-05-01,2099-12-31,2,2.3333333333333335,2,-0.3333333333333335,85.7,Déficit,2,0,Servicio_Vivo,WASHINGTON CHINININ,ZONA C6,ZONA CENTRO
54554,607,48,J&V Resguardo S.A.C.,PROFUTURO AFP,PROFUTURO SEDE PRINCIPAL,AGENTE SEGURIDAD 12 HRS L/S DÍA,2022-05-01,2099-12-31,1,1.0,1,0.0,100.0,Completo,1,0,Servicio_Vivo,WASHINGTON CHINININ,ZONA C6,ZONA CENTRO
54554,607,53,J&V Resguardo S.A.C.,PROFUTURO AFP,PROFUTURO SEDE PRINCIPAL,AGENTE SEGURIDAD 12 HRS L/V (DÍA),2022-05-01,2099-12-31,1,1.0,1,0.0,100.0,Completo,1,0,Servicio_Vivo,WASHINGTON CHINININ,ZONA C6,ZONA CENTRO
54554,607,688,J&V Resguardo S.A.C.,PROFUTURO AFP,PROFUTURO SEDE PRINCIPAL,JEFE DE GRUPO 14 HRS L/V + SÁBADO 12 HRS (DÍA),2022-05-01,2099-12-31,1,1.0,1,0.0,100.0,Completo,1,0,Servicio_Vivo,WASHINGTON CHINININ,ZONA C6,ZONA CENTRO
54554,607,95,J&V Resguardo S.A.C.,PROFUTURO AFP,PROFUTURO SEDE PRINCIPAL,AGENTE SEGURIDAD 24 HRS L/D,2022-05-01,2099-12-31,2,2.3333333333333335,2,-0.3333333333333335,85.7,Déficit,2,0,Servicio_Vivo,WASHINGTON CHINININ,ZONA C6,ZONA CENTRO
54554,3808,16,J&V Resguardo S.A.C.,PROFUTURO AFP,SERV. ADIC. PROFUTURO CHICLAYO,AGENTE SEGURIDAD 08 HRS L/D DÍA,2025-05-31,2025-05-31,1,1.1666666666666667,0,,,Sin_Datos,0,0,Servicio_Vivo,DARCY SAMILLAN,REGION CHICLAYO,REGION NORTE
54554,3808,16,J&V Resguardo S.A.C.,PROFUTURO AFP,SERV. ADIC. PROFUTURO CHICLAYO,AGENTE SEGURIDAD 08 HRS L/D DÍA,2025-05-24,2025-05-24,1,1.1666666666666667,0,,,Sin_Datos,0,0,Servicio_Vivo,DARCY SAMILLAN,REGION CHICLAYO,REGION NORTE
54554,3823,16,J&V Resguardo S.A.C.,PROFUTURO AFP,SERV. ADIC. PROFUTURO AREQUIPA,AGENTE SEGURIDAD 08 HRS L/D DÍA,2025-05-12,2025-05-13,1,1.1666666666666667,0,,,Sin_Datos,0,0,Servicio_Vivo,PERCY PEREZ,REGION AREQUIPA,REGION SUR
54554,3824,30,J&V Resguardo S.A.C.,PROFUTURO AFP,SERV. ADIC. PROFUTURO TRUJILLO,AGENTE SEGURIDAD 11 HRS L/D (DÍA),2025-05-24,2025-05-25,1,1.1666666666666667,0,,,Sin_Datos,0,0,Servicio_Vivo,JAN INGA,REGION TRUJILLO,REGION NORTE
54554,3824,C57,J&V Resguardo S.A.C.,PROFUTURO AFP,SERV. ADIC. PROFUTURO TRUJILLO,AGENTE SEGURIDAD 08 HRS L/D TARDE,2025-05-21,2025-05-23,1,1.1666666666666667,0,,,Sin_Datos,0,0,Servicio_Vivo,JAN INGA,REGION TRUJILLO,REGION NORTE
54554,4546,82,J&V Resguardo S.A.C.,PROFUTURO AFP,PROFUTURO SAN ISIDRO,AGENTE SEGURIDAD 14 HRS L/V (DÍA),2022-05-01,2099-12-31,1,1.0,1,0.0,100.0,Completo,1,0,Servicio_Vivo,WASHINGTON CHINININ,ZONA C6,ZONA CENTRO
54554,4546,95,J&V Resguardo S.A.C.,PROFUTURO AFP,PROFUTURO SAN ISIDRO,AGENTE SEGURIDAD 24 HRS L/D,2022-05-01,2099-12-31,2,2.3333333333333335,3,0.6666666666666665,128.6,Excedente,3,0,Servicio_Vivo,WASHINGTON CHINININ,ZONA C6,ZONA CENTRO
54554,8779,20,J&V Resguardo S.A.C.,PROFUTURO AFP,PROFUTURO AREQUIPA,AGENTE SEGURIDAD 08 HRS L/V (DÍA),2022-05-01,2099-12-31,1,1.0,1,0.0,100.0,Completo,1,0,Servicio_Vivo,PERCY PEREZ,REGION AREQUIPA,REGION SUR
54554,8780,20,J&V Resguardo S.A.C.,PROFUTURO AFP,PROFUTURO TRUJILLO,AGENTE SEGURIDAD 08 HRS L/V (DÍA),2022-05-01,2099-12-31,1,1.0,1,0.0,100.0,Completo,1,0,Servicio_Vivo,JAN INGA,REGION TRUJILLO,REGION NORTE
54554,12383,20,J&V Resguardo S.A.C.,PROFUTURO AFP,PROFUTURO CHICLAYO,AGENTE SEGURIDAD 08 HRS L/V (DÍA),2022-05-01,2099-12-31,1,1.0,1,0.0,100.0,Completo,1,0,Servicio_Vivo,DARCY SAMILLAN,REGION CHICLAYO,REGION NORTE
